date|src_and_dest|folder|transfer_rate|transfer_options|label
2019/04/16 18:02:54 |UoA --> NeSI|10gb_1_file|85.35|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:04:43 |UoA --> NeSI|10gb_10_files|130.72|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:06:20 |UoA --> NeSI|10gb_100_files|130.63|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:08:23 |UoA --> NeSI|10gb_1000_files|117.26|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:16:16 |UoA --> NeSI|10gb_10000_files|34.95|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:20:47 |UoA --> NeSI|10gb_1_file|43.50|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:23:33 |UoA --> NeSI|10gb_10_files|71.61|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:26:10 |UoA --> NeSI|10gb_100_files|77.91|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:29:11 |UoA --> NeSI|10gb_1000_files|70.49|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:37:44 |UoA --> NeSI|10gb_10000_files|32.31|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:38:36 |NeSI --> UoA|10gb_1_file|263.96|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:39:28 |NeSI --> UoA|10gb_10_files|276.27|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:40:20 |NeSI --> UoA|10gb_100_files|260.41|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:41:24 |NeSI --> UoA|10gb_1000_files|194.22|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:44:12 |NeSI --> UoA|10gb_10000_files|68.29|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 18:47:32 |NeSI --> UoA|10gb_1_file|59.67|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:49:43 |NeSI --> UoA|10gb_10_files|100.46|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:51:53 |NeSI --> UoA|10gb_100_files|95.64|--verify-checksum|UoA-SpectrumScale
2019/04/16 18:54:27 |NeSI --> UoA|10gb_1000_files|89.61|--verify-checksum|UoA-SpectrumScale
2019/04/16 19:00:23 |NeSI --> UoA|10gb_10000_files|50.59|--verify-checksum|UoA-SpectrumScale
2019/04/16 19:48:57 |UoA --> NeSI|10gb_1_file|85.91|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 19:52:06 |UoA --> NeSI|10gb_1_file|65.59|--no-verify-checksum|UoA-SpectrumScale
2019/04/16 19:54:40 |UoA --> NeSI|10gb_1_file|82.60|--no-verify-checksum|UoA-SpectrumScale
